NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
900491889,masser s.a.s,supersociedades,costa atlántica,atlantico,barranquilla-atlantico,"4,731",comercio,1.62,0.0,0.06,0.05,0.01,2022
900118612,ci meprecol sa,supersociedades,antioquia,antioquia,medellin-antioquia,"4,662",comercio,1.32,0.01,0.03,0.0,0.03,2022
900114676,minex compañia internacional sas ci,supersociedades,centro - oriente,norte de santander,cucuta-norte de santander,"4,661",comercio,1.08,0.03,0.16,0.15,0.01,2022
900891350,goam 1 c.i s.a.s,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,661",comercio,1.06,-0.0,0.15,0.15,0.0,2022
900237877,c.i. cargill de colombia ltda,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,620",comercio,0.97,-0.01,0.18,0.08,0.1,2022
900147693,ecodiesel colombia sa,supersociedades,centro - oriente,santander,bucaramanga-santander,"2,029",manufactura,0.94,0.08,0.23,0.12,0.11,2022
900047822,petrobras colombia combustibles s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,661",comercio,0.93,-0.01,0.17,0.08,0.1,2022
890902070,c.i.j gutierrez y cia s.a,supersociedades,antioquia,antioquia,medellin-antioquia,"4,669",comercio,0.9,0.0,0.1,0.03,0.07,2022
811043174,zeuss s a s,supersociedades,antioquia,antioquia,medellin-antioquia,"4,661",comercio,0.86,0.01,0.16,0.09,0.07,2022
900294369,comercial card sas,supersociedades,antioquia,antioquia,medellin-antioquia,"6,209",servicios,0.82,0.01,0.04,0.03,0.01,2022
830112215,world fuel services company llc sucursal colombia,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,731",comercio,0.74,-0.01,0.17,0.12,0.05,2022
901180357,osprey metals sas,supersociedades,antioquia,antioquia,rionegro-antioquia,"2,421",manufactura,0.72,-0.0,0.07,0.07,0.0,2022
860058831,avicola los cambulos s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,145,agropecuario,0.71,0.0,0.17,0.14,0.04,2022
840000922,c.i. top sa,supersociedades,costa pacífica,valle,cali-valle,"4,610",comercio,0.7,0.0,0.13,0.12,0.01,2022
807005015,sociedad de comercializacion internacional excomin sas bic,supersociedades,centro - oriente,norte de santander,cucuta-norte de santander,"4,661",comercio,0.65,-0.05,0.1,0.1,0.0,2022
800058607,controles empresariales sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,651",comercio,0.64,0.02,0.2,0.13,0.07,2022
900497906,puma energy colombia combustibles sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,661",comercio,0.64,-0.0,0.18,0.08,0.1,2022
830513238,"conexred s,a,s",supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"6,190",servicios,0.64,0.02,0.13,0.11,0.02,2022
900459737,grupo eds autogas sas,supersociedades,antioquia,antioquia,envigado-antioquia,"4,731",comercio,0.64,0.03,0.15,0.04,0.11,2022
900397839,compañia dsierra sa.,supersociedades,bogotá - cundinamarca,cundinamarca,funza -cundinamarca,"4,631",comercio,0.63,0.02,0.23,0.15,0.08,2022
800230447,sodexo,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"5,619",servicios,0.63,0.02,0.18,0.14,0.04,2022
901370428,supermercados mercacentro sas,supersociedades,otros,tolima,ibague-tolima,"4,711",comercio,0.61,0.01,0.16,0.08,0.09,2022
800106774,mercado zapatoca s.a,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,711",comercio,0.61,0.02,0.19,0.13,0.06,2022
811025074,ci west metasl company sas,supersociedades,antioquia,antioquia,medellin-antioquia,"4,662",comercio,0.61,0.01,0.02,0.0,0.01,2022
860030380,agencia de aduanas dhl global forwarding colombia s.a nivel 1,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"5,229",servicios,0.61,0.03,0.17,0.09,0.08,2022
860050906,adecco colombia s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"7,820",servicios,0.59,-0.01,0.09,0.08,0.01,2022
900479267,fundicion rqamirez zona franca sas,supersociedades,costa pacífica,valle,palmira-valle,"2,421",manufactura,0.58,0.01,0.09,0.03,0.05,2022
900031088,comercializadora internacional bananeros unidos de santamarta sas,supersociedades,costa atlántica,magdalena,santa marta-magdalena,"4,631",comercio,0.58,-0.0,0.09,0.09,0.01,2022
811045607,inversiones euro s.a.,supersociedades,antioquia,antioquia,itagui-antioquia,"4,711",comercio,0.58,0.01,0.21,0.15,0.06,2022
900383385,invercomer del caribe sas,supersociedades,costa atlántica,bolivar,cartagena-bolivar,"4,711",comercio,0.57,0.0,0.14,0.09,0.05,2022
890303093,comfenalco valle e.p.s.,supersalud,costa pacífica,valle,cali-valle,"8,430",servicios,0.57,-0.0,0.13,0.15,-0.02,2022
890900115,a laumayer y compañia exportadores de cafe s.a.s.,supersociedades,antioquia,antioquia,medellin-antioquia,"4,620",comercio,0.57,0.01,0.18,0.15,0.03,2022
830036108,sed international de colombia sas,supersociedades,bogotá - cundinamarca,cundinamarca,tocancipa -cundinamarca,"4,651",comercio,0.56,0.01,0.18,0.13,0.05,2022
860090915,activos sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"7,820",servicios,0.56,0.0,0.12,0.05,0.07,2022
890929877,compass group services colombia s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"5,612",servicios,0.56,0.01,0.23,0.13,0.1,2022
800055116,calypso del caribe s.a.,supersociedades,bogotá - cundinamarca,cundinamarca,tocancipa -cundinamarca,"4,729",comercio,0.56,0.0,0.2,0.15,0.05,2022
800137960,eficacia sa,supersociedades,costa pacífica,valle,cali-valle,"8,299",servicios,0.55,0.0,0.11,0.09,0.02,2022
890200179,sanautos sa,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,511",comercio,0.54,0.01,0.18,0.11,0.06,2022
900828016,c.i. aca aluminios cobres y aceros sas,supersociedades,costa atlántica,atlantico,barranquilla-atlantico,"4,665",comercio,0.54,0.0,0.03,0.02,0.01,2022
832004332,minas y minerales sa,supersociedades,bogotá - cundinamarca,cundinamarca,zipaquira -cundinamarca,"4,661",comercio,0.52,0.03,0.16,0.08,0.07,2022
900277244,helpharma s.a.,supersalud,antioquia,antioquia,medellin-antioquia,"4,773",comercio,0.51,0.02,0.16,0.11,0.05,2022
817002510,carvajal pulpa y papel sas zona franca permanente especial,supersociedades,costa pacífica,valle,yumbo-valle,"1,709",manufactura,0.51,0.09,0.15,0.04,0.11,2022
800100159,compañia de cosmeticos votre passion s.a.s,supersociedades,antioquia,antioquia,medellin-antioquia,"4,771",comercio,0.51,0.0,0.07,0.05,0.01,2022
900592737,perfiles y soluciones logisticas sas,supersociedades,costa atlántica,bolivar,cartagena-bolivar,"8,220",servicios,0.5,0.01,0.18,0.09,0.09,2022
830113831,aliansalud eps s.a.,supersalud,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"8,430",servicios,0.5,0.02,0.19,0.12,0.07,2022
830013774,indra colombia sas indra colombia sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"6,201",servicios,0.5,0.01,0.26,0.15,0.11,2022
817002533,ci yumbo s.a.,supersociedades,costa pacífica,valle,yumbo-valle,"1,032",manufactura,0.49,0.01,0.19,0.15,0.03,2022
900040299,atlantic fs sas,supersociedades,antioquia,antioquia,medellin-antioquia,"4,723",comercio,0.48,0.02,0.19,0.12,0.07,2022
901223142,expoganados de colombia sas,supersociedades,centro - oriente,santander,bucaramanga-santander,"4,620",comercio,0.48,0.0,0.06,0.05,0.01,2022
860009694,cyrgo sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,663",comercio,0.47,0.01,0.21,0.15,0.06,2022
823004536,comunicaciones del caribe sas,supersociedades,costa atlántica,sucre,sincelejo-sucre,"4,774",comercio,0.47,0.02,0.13,0.08,0.06,2022
901019586,ci eslop sas,supersociedades,antioquia,antioquia,medellin-antioquia,"4,662",comercio,0.47,0.0,0.02,0.01,0.01,2022
901300741,coesco colombia sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,731",comercio,0.46,0.02,0.04,0.02,0.02,2022
900522508,inversiones supervaquita  la 33 s.a.s,supersociedades,antioquia,antioquia,medellin-antioquia,"4,711",comercio,0.45,0.01,0.11,0.05,0.06,2022
830037540,foundever de colombia s a,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"8,220",servicios,0.45,0.02,0.26,0.14,0.12,2022
890904615,autoamerica s.a.,supersociedades,antioquia,antioquia,medellin-antioquia,"4,511",comercio,0.44,0.02,0.18,0.09,0.09,2022
900375857,practisistemas s.a.s.,supersociedades,bogotá - cundinamarca,cundinamarca,chia-cundinamarca,"6,190",servicios,0.44,0.0,0.01,0.01,0.0,2022
804017043,extractora central s.a.,supersociedades,centro - oriente,santander,bucaramanga-santander,"1,031",manufactura,0.44,0.04,0.14,0.07,0.06,2022
802023228,c.i. empresa colombiana de servicios petroleros s.a.,supersociedades,costa atlántica,atlantico,barranquilla-atlantico,"4,661",comercio,0.43,0.0,0.05,0.04,0.01,2022
890916883,manpower de colombia ltda,supersociedades,antioquia,antioquia,medellin-antioquia,"7,820",servicios,0.43,0.01,0.08,0.05,0.04,2022
800023551,c.i. fortia minerals s.a.s.,supersociedades,costa atlántica,atlantico,puerto colombia-atlantico,"4,661",comercio,0.43,-0.0,0.15,0.13,0.02,2022
900715610,biocosta green energy s.a.s.,supersociedades,costa atlántica,magdalena,santa marta-magdalena,"1,032",manufactura,0.43,0.02,0.15,0.11,0.04,2022
800116871,c.i importex s.a,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,669",comercio,0.43,0.01,0.16,0.15,0.01,2022
860032450,pollo fiesta sa,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,145,agropecuario,0.43,0.01,0.14,0.08,0.06,2022
900737989,bemovil sas,supersociedades,eje cafetero,risaralda,pereira-risaralda,"6,190",servicios,0.42,0.0,0.01,0.01,0.0,2022
900313945,porcicultores apa sas,supersociedades,antioquia,antioquia,girardota -antioquia,"1,090",manufactura,0.41,0.0,0.14,0.09,0.05,2022
900061224,mercamio s.a,supersociedades,costa pacífica,valle,cali-valle,"4,711",comercio,0.41,0.01,0.1,0.06,0.05,2022
890327282,autopacifico sa,supersociedades,costa pacífica,valle,cali-valle,"4,511",comercio,0.41,0.01,0.14,0.1,0.04,2022
900403002,dna distrinal sas,supersociedades,costa pacífica,valle,cali-valle,"4,631",comercio,0.4,0.0,0.1,0.08,0.02,2022
900616155,super pagos s.a.s,supersociedades,eje cafetero,risaralda,pereira-risaralda,"6,311",servicios,0.4,0.0,0.03,0.02,0.01,2022
890905627,casa britanica s.a.,supersociedades,antioquia,antioquia,medellin-antioquia,"4,511",comercio,0.39,0.01,0.15,0.08,0.06,2022
805022756,accion del cauca,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"7,820",servicios,0.39,0.01,0.08,0.03,0.04,2022
900078103,combustibles hyr ltda,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,731",comercio,0.38,-0.0,0.13,0.11,0.02,2022
860010451,casalimpia sa,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"8,129",servicios,0.38,0.0,0.11,0.08,0.03,2022
860065736,camco sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,661",comercio,0.38,0.05,0.1,0.03,0.07,2022
811030498,c.i. tropical s.a.s,supersociedades,antioquia,antioquia,medellin-antioquia,"4,620",comercio,0.38,0.01,0.16,0.09,0.07,2022
900857481,carbomax de colombia,supersociedades,centro - oriente,norte de santander,cucuta-norte de santander,"4,661",comercio,0.38,0.0,0.11,0.1,0.01,2022
800093391,novamed s.a.s,supersociedades,costa atlántica,atlantico,barranquilla-atlantico,"2,100",manufactura,0.38,0.04,0.18,0.07,0.11,2022
900386417,idemia colombia sas,supersociedades,costa pacífica,valle,yumbo-valle,"1,811",manufactura,0.38,0.02,0.2,0.1,0.11,2022
900103833,ci metales la union sas,supersociedades,eje cafetero,risaralda,dosquebradas-risaralda,"4,665",comercio,0.38,0.01,0.06,0.06,0.0,2022
900072847,gne soluciones s.a.s,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,731",comercio,0.38,0.01,0.09,0.02,0.07,2022
800189687,aceros cortados sas,supersociedades,bogotá - cundinamarca,cundinamarca,funza -cundinamarca,"2,511",manufactura,0.38,0.0,0.24,0.15,0.09,2022
900817436,integra trading sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,620",comercio,0.38,0.0,0.04,0.03,0.01,2022
811010832,vehiculos del camino s.a.s.,supersociedades,antioquia,antioquia,medellin-antioquia,"4,511",comercio,0.37,0.01,0.1,0.07,0.03,2022
890204814,c.i. manufacturas y procesos industriales limitada,supersociedades,centro - oriente,santander,floridablanca-santander,"1,921",manufactura,0.37,0.0,0.19,0.13,0.06,2022
901383798,coffeeworld sas,supersociedades,otros,tolima,herveo-tolima,"4,620",comercio,0.37,0.0,0.02,0.01,0.0,2022
900486803,palmicultores del norte sas,supersociedades,centro - oriente,norte de santander,cucuta-norte de santander,"1,031",manufactura,0.37,0.0,0.12,0.09,0.03,2022
890312749,seguridad atlas ltda,supervigilancia,costa pacífica,valle,cali-valle,"8,010",servicios,0.37,0.0,0.12,0.07,0.05,2022
800121199,hierros hb s.a,supersociedades,eje cafetero,risaralda,dosquebradas-risaralda,"4,663",comercio,0.37,0.02,0.11,0.08,0.03,2022
901196744,telesource sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,652",comercio,0.37,0.0,0.09,0.08,0.01,2022
890937015,distribuidora tropicana sas,supersociedades,antioquia,antioquia,medellin-antioquia,"4,631",comercio,0.37,0.01,0.13,0.08,0.05,2022
900481902,comercializadora fresmar sas,supersociedades,eje cafetero,risaralda,dosquebradas-risaralda,"4,631",comercio,0.37,0.01,0.08,0.05,0.03,2022
830050228,adecco servicios colombia s.a,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"7,830",servicios,0.36,-0.0,0.1,0.07,0.02,2022
800109274,distribuidora servivalle sas,supersociedades,costa pacífica,valle,cali-valle,"4,690",comercio,0.36,0.0,0.16,0.12,0.03,2022
800052534,distribuciones axa s.a.s,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,645",comercio,0.36,0.01,0.1,0.07,0.03,2022
901111609,naples prime sas ci,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,662",comercio,0.36,0.0,0.03,0.01,0.02,2022
900819727,pes colombia sas,supersociedades,bogotá - cundinamarca,cundinamarca,cota -cundinamarca,"8,299",servicios,0.35,0.05,0.2,0.15,0.05,2022
839000495,anas wayuu epsi,supersalud,costa atlántica,la guajira,maicao-la guajira,"8,430",servicios,0.35,0.01,0.12,0.11,0.01,2022
828002423,distribuidora colombiana de medicamentos sas,supersociedades,otros,huila,neiva-huila,"4,645",comercio,0.35,0.02,0.15,0.07,0.07,2022
830023542,camargo correra infra ltda sucursal colombia,supersociedades,antioquia,antioquia,medellin-antioquia,"4,290",construcción,0.35,0.04,0.06,0.03,0.03,2022
800249704,colwagen sas,supersociedades,bogotá - cundinamarca,cundinamarca,chia-cundinamarca,"4,511",comercio,0.35,0.01,0.11,0.08,0.03,2022
890104719,industrias puropollo sas,supersociedades,costa atlántica,atlantico,malambo-atlantico,145,agropecuario,0.35,0.0,0.16,0.14,0.02,2022
860507248,j.e.jaimes ingenieros s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,321",construcción,0.35,0.0,0.09,0.07,0.02,2022
900229376,c i toyota tsusho de colombia sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,610",comercio,0.35,-0.0,0.09,0.06,0.03,2022
890211902,palmeras de puerto wilches s a,supersociedades,centro - oriente,santander,bucaramanga-santander,"1,031",manufactura,0.35,0.04,0.13,0.07,0.06,2022
890900081,autolarte sas,supersociedades,antioquia,antioquia,itagui-antioquia,"4,511",comercio,0.35,0.01,0.16,0.09,0.07,2022
900178724,medplus medicina prepagada s.a.,supersalud,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"8,699",servicios,0.34,0.04,0.21,0.14,0.08,2022
802022622,c.i. frontier next sas,supersociedades,costa atlántica,atlantico,baranoa-atlantico,510,minero,0.34,0.02,0.13,0.07,0.06,2022
830513729,combustibles de colombia sa,supersociedades,costa pacífica,valle,cali-valle,"4,731",comercio,0.34,0.01,0.14,0.07,0.07,2022
890315540,productos yupi sas,supersociedades,costa pacífica,valle,yumbo-valle,"4,631",comercio,0.34,0.02,0.2,0.1,0.1,2022
900612501,chm mineria sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,659",comercio,0.34,0.02,0.13,0.06,0.07,2022
860013951,g4s secure solutions colombia sa .,supervigilancia,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"8,010",servicios,0.34,0.01,0.12,0.06,0.06,2022
860001778,industrias ivor sa casa inglesa,supersociedades,bogotá - cundinamarca,cundinamarca,tenjo -cundinamarca,"4,511",comercio,0.34,0.02,0.2,0.14,0.06,2022
800114766,freskaleche sas,supersociedades,centro - oriente,santander,bucaramanga-santander,"1,040",manufactura,0.33,0.01,0.09,0.05,0.04,2022
860500480,almacenes corona sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,752",comercio,0.33,0.02,0.17,0.13,0.04,2022
800120681,croydon colombia s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"1,522",manufactura,0.33,0.01,0.16,0.11,0.05,2022
860400008,molino el lobo s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"1,051",manufactura,0.33,0.01,0.16,0.08,0.08,2022
830511110,skf latin trade sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,659",comercio,0.33,0.01,0.15,0.1,0.06,2022
860046201,fortox sa,supervigilancia,costa pacífica,valle,cali-valle,"8,010",servicios,0.32,0.01,0.12,0.07,0.05,2022
860076820,pollo andino sa,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,145,agropecuario,0.32,0.02,0.17,0.07,0.1,2022
800015583,colsof sas,supersociedades,bogotá - cundinamarca,cundinamarca,cota -cundinamarca,"4,741",comercio,0.32,0.01,0.13,0.07,0.06,2022
800045797,industrias aliadas s.a.s.,supersociedades,antioquia,antioquia,medellin-antioquia,"1,063",manufactura,0.32,0.05,0.16,0.07,0.1,2022
809002625,internacional de electricos sas,supersociedades,otros,tolima,ibague-tolima,"4,752",comercio,0.32,0.02,0.16,0.08,0.08,2022
901248010,coffeenar sas,supersociedades,eje cafetero,risaralda,santa rosa de cabal-risaralda,"4,620",comercio,0.32,0.0,0.03,0.03,0.0,2022
900033371,sumimedical s.a.s,supersalud,antioquia,antioquia,medellin-antioquia,"8,610",servicios,0.32,0.02,0.17,0.07,0.09,2022
900203566,abastecemos de occidente sas,supersociedades,costa pacífica,valle,yumbo-valle,"4,711",comercio,0.32,0.01,0.07,0.03,0.04,2022
830106920,laboratorios biopas sa,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,645",comercio,0.32,0.01,0.2,0.11,0.09,2022
830110347,c.i. chevron export s.a.s,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,774",comercio,0.32,0.01,0.04,0.03,0.01,2022
860050420,ventas y servicios sa,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"6,399",servicios,0.32,0.0,0.11,0.06,0.05,2022
860403972,pollos savicol sa,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,145,agropecuario,0.32,0.01,0.14,0.05,0.08,2022
800208785,congelados agricolas sa congelagro sa,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"1,020",manufactura,0.32,0.01,0.15,0.06,0.08,2022
860045854,almacenes maximo sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,755",comercio,0.31,0.0,0.18,0.14,0.04,2022
900569531,autoland sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,511",comercio,0.31,0.02,0.14,0.06,0.08,2022
800027813,ingeomega s.a.s,supersociedades,antioquia,antioquia,itagui-antioquia,"4,321",construcción,0.31,0.02,0.12,0.06,0.06,2022
890802586,arme s.a.,supersociedades,eje cafetero,caldas,chinchina-caldas,"2,599",manufactura,0.31,-0.0,0.16,0.08,0.08,2022
901153925,clinica nueva el lago s.a.s.,supersalud,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"8,610",servicios,0.31,0.02,0.13,0.11,0.02,2022
892115006,ccf de la guajira,supersalud,costa atlántica,la guajira,riohacha-la guajira,"8,699",servicios,0.31,-0.01,0.05,0.07,-0.02,2022
860067998,ferreteria multialambres ltda,supersociedades,bogotá - cundinamarca,cundinamarca,cota -cundinamarca,"2,599",manufactura,0.31,0.01,0.22,0.12,0.09,2022
824001398,dusakawi a.r.s.i.,supersalud,costa atlántica,cesar,valledupar-cesar,"8,430",servicios,0.31,-0.02,0.12,0.11,0.01,2022
890806999,armetales sa,supersociedades,eje cafetero,caldas,manizales-caldas,"4,663",comercio,0.31,0.01,0.1,0.05,0.04,2022
811042361,provecol antioquia s.a,supersociedades,antioquia,antioquia,itagui-antioquia,"4,631",comercio,0.31,0.01,0.09,0.03,0.06,2022
900115530,humberto quintero o y cia sca,supersociedades,costa pacífica,valle,yumbo-valle,"3,290",manufactura,0.31,0.01,0.09,0.06,0.03,2022
830111367,sudespensa barragan s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,631",comercio,0.31,0.01,0.21,0.13,0.07,2022
890800148,etex colombia s.a,supersociedades,eje cafetero,caldas,manizales-caldas,"2,395",manufactura,0.31,0.01,0.21,0.09,0.12,2022
860350234,brinks de colombia,supervigilancia,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,923",servicios,0.31,0.02,0.21,0.1,0.11,2022
860071029,agroindustria del riofrio sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,620",comercio,0.31,0.01,0.07,0.05,0.01,2022
860030808,championx de colombia ltda,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"2,029",manufactura,0.31,0.01,0.19,0.1,0.09,2022
860006127,ci sociedad industrial de grasas vegetales sigra s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"1,032",manufactura,0.31,0.01,0.2,0.12,0.08,2022
800149453,cpo s a,supersalud,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"8,610",servicios,0.31,0.08,0.2,0.09,0.11,2022
900541359,win sports s a s,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"6,020",servicios,0.31,0.01,0.25,0.15,0.1,2022
890900535,kellogg de colombia s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"1,089",manufactura,0.31,0.01,0.17,0.09,0.07,2022
802002435,yara industrial colombia s.a.s.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,664",comercio,0.31,0.01,0.11,0.06,0.05,2022
900029130,mercados y carnes or sas,supersociedades,antioquia,antioquia,bello-antioquia,"4,711",comercio,0.3,0.01,0.05,0.01,0.04,2022
800093320,proyectos de ingenieria sa proing sa,supersociedades,costa pacífica,valle,yumbo-valle,"4,321",construcción,0.3,0.01,0.15,0.06,0.08,2022
860001777,industrias inca s.a.s.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,799",comercio,0.3,0.01,0.15,0.08,0.07,2022
890110964,alimentos del valle sa,supersociedades,costa pacífica,cauca,caloto-cauca,"1,040",manufactura,0.3,0.0,0.13,0.08,0.05,2022
900640334,salud colpatria,supersalud,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"8,699",servicios,0.3,0.0,0.14,0.12,0.02,2022
900675169,combured sas,supersociedades,antioquia,antioquia,medellin-antioquia,"4,731",comercio,0.3,0.01,0.07,0.04,0.03,2022
901123549,comercializadora internacional octano industrial sas,supersociedades,bogotá - cundinamarca,cundinamarca,madrid-cundinamarca,"1,921",manufactura,0.3,0.01,0.04,0.02,0.01,2022
835001216,el gran langostino s.a.s.,supersociedades,costa pacífica,valle,cali-valle,"4,723",comercio,0.3,0.01,0.16,0.1,0.05,2022
800223206,bienestar ips s.a.s.,supersalud,costa atlántica,atlantico,barranquilla-atlantico,"8,621",servicios,0.3,0.01,0.18,0.11,0.07,2022
900240018,los comuneros hospital universitario de bucaramanga,supersalud,centro - oriente,santander,bucaramanga-santander,"8,610",servicios,0.3,0.01,0.18,0.15,0.03,2022
800077198,distribuidora surtilima s.a.s.,supersociedades,otros,tolima,ibague-tolima,"4,690",comercio,0.3,-0.0,0.11,0.09,0.02,2022
890401802,prosegur vigilancia y seguridad privada ltda,supervigilancia,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"8,010",servicios,0.3,0.01,0.19,0.08,0.11,2022
800215065,coordinadora de servicios de parque cementerio s.a.s.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"9,603",servicios,0.3,0.01,0.14,0.06,0.08,2022
860023264,securitas colombia sa,supervigilancia,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"8,020",servicios,0.3,0.01,0.1,0.06,0.04,2022
860007884,automotora nacional sas  autonal sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,511",comercio,0.3,0.01,0.15,0.05,0.11,2022
900742771,berhlan de colombia s.a.s.,supersociedades,eje cafetero,quindio,la tebaida-quindio,"2,023",manufactura,0.29,0.01,0.15,0.12,0.03,2022
890903711,procesadora de leches s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"1,040",manufactura,0.29,0.02,0.12,0.08,0.05,2022
830054002,nacional de electricos hh ltda,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,752",comercio,0.29,0.01,0.16,0.08,0.08,2022
900078743,inversiones bonanza jyc sas,supersociedades,antioquia,antioquia,medellin-antioquia,"4,620",comercio,0.29,0.0,0.02,0.01,0.01,2022
