NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
800163827,andiasistencia compañia de asistencia de los andes s.a.s.,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","7,490",servicios,0.07,-0.0,0.03,0.01,0.01,2023
890930448,divertronica medellin sas,supersociedades,antioquia,antioquia,itagui-antioquia-antioquia,"9,321",servicios,0.07,0.01,0.12,0.1,0.02,2023
800160116,autocordillera sas,supersociedades,costa pacífica,valle,cali-valle,"4,511",comercio,0.07,0.0,0.02,0.01,0.01,2023
900372462,levapan colombia s.a.s.,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","1,089",manufactura,0.07,0.0,0.03,0.02,0.01,2023
901039685,dla piper martinez beltran abogados sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","6,910",servicios,0.07,0.01,0.04,0.02,0.02,2023
900795390,inveragro el cambulo s.a.s.,supersociedades,antioquia,antioquia,medellin-antioquia,122,agropecuario,0.07,0.01,0.06,0.03,0.03,2023
890928186,sanear s.a,supersociedades,antioquia,antioquia,medellin-antioquia,"4,220",construcción,0.07,0.0,0.05,0.01,0.04,2023
860515812,gabriel de colombia s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","2,930",manufactura,0.07,0.0,0.06,0.05,0.01,2023
800143025,servicios asociados sas,supersociedades,otros,huila,neiva-huila,910,minero,0.07,0.0,0.05,0.03,0.02,2023
900411781,ci fajas myd colombia sas,supersociedades,antioquia,antioquia,medellin-antioquia,"1,410",manufactura,0.07,0.0,0.1,0.05,0.05,2023
830101476,cooperativa de vigilantes starcoop cta,supervigilancia,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","8,010",servicios,0.07,0.0,0.02,0.01,0.02,2023
815000624,del alba sa,supersociedades,costa pacífica,valle,palmira-valle-valle,"1,089",manufactura,0.07,0.0,0.04,0.02,0.02,2023
830093986,john crane colombia sa,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,659",comercio,0.07,0.02,0.03,0.01,0.02,2023
800249401,internacional de celulares s a - en reorganización,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,759",comercio,0.07,-0.0,0.04,0.03,0.01,2023
891702598,servicios tecnicos bananeros s.a.,supersociedades,costa atlántica,magdalena,santa marta-magdalena,"5,224",servicios,0.07,0.0,0.02,0.01,0.01,2023
